,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
1097,850.0,2,2.0,Semi-Furnished,Sheikh Sarai Phase 1,1.0,13500000,Ready_to_move,Resale,Apartment
1098,1650.0,3,3.0,Semi-Furnished,Sheikh Sarai Phase 1,1.0,22500000,Ready_to_move,Resale,Builder_Floor
1102,1800.0,4,3.0,Furnished,other,2.0,5500000,Ready_to_move,New_Property,Builder_Floor
1103,1500.0,3,3.0,Semi-Furnished,Sheikh Sarai Phase 1,2.0,22500000,Ready_to_move,Resale,Builder_Floor
1104,1100.0,2,2.0,Semi-Furnished,Sheikh Sarai Phase 1,1.0,12500000,Ready_to_move,Resale,Apartment
1105,1400.0,3,2.0,Semi-Furnished,Sheikh Sarai Phase 1,2.0,19000000,Ready_to_move,Resale,Apartment
1106,1300.0,2,2.0,Semi-Furnished,Sheikh Sarai Phase 1,2.0,15500000,Ready_to_move,Resale,Apartment
1107,1100.0,2,2.0,Semi-Furnished,Sheikh Sarai Phase 1,2.0,13500000,Ready_to_move,Resale,Apartment
1108,1600.0,3,3.0,Semi-Furnished,Sheikh Sarai Phase 1,2.0,21000000,Ready_to_move,Resale,Apartment
1113,1640.0,3,3.0,Unfurnished,other,1.0,12000000,Ready_to_move,Resale,Apartment
1115,2100.0,3,3.0,Semi-Furnished,other,1.0,25000000,Ready_to_move,Resale,Builder_Floor
1131,900.0,2,2.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,Resale,Builder_Floor
1134,2340.0,4,4.0,Semi-Furnished,other,1.0,26000000,Ready_to_move,Resale,Builder_Floor
1141,1350.0,3,3.0,Semi-Furnished,other,2.0,21000000,Ready_to_move,Resale,Apartment
1142,1800.0,3,3.0,Semi-Furnished,other,2.0,22500000,Ready_to_move,Resale,Apartment
1143,968.751,2,2.0,Semi-Furnished,other,2.0,15000000,Ready_to_move,Resale,Apartment
1144,1250.0,3,3.0,Semi-Furnished,other,2.0,20000000,Ready_to_move,New_Property,Apartment
1145,1800.0,3,3.0,Furnished,other,2.0,20000000,Ready_to_move,New_Property,Apartment
1146,1400.0,3,2.0,Semi-Furnished,other,2.0,26000000,Ready_to_move,Resale,Builder_Floor
1150,1600.0,3,3.0,Semi-Furnished,other,2.0,20000000,Ready_to_move,Resale,Apartment
1152,1400.0,3,2.0,Unfurnished,other,1.0,19000000,Ready_to_move,Resale,Apartment
1154,1100.0,2,2.0,Unfurnished,other,2.0,15000000,Ready_to_move,Resale,Apartment
1157,1500.0,3,3.0,Semi-Furnished,other,2.0,21000000,Ready_to_move,Resale,Apartment
1159,1300.0,3,3.0,Unfurnished,other,2.0,19000000,Ready_to_move,Resale,Apartment
1161,1440.0,3,3.0,Unfurnished,other,1.0,19000000,Ready_to_move,Resale,Apartment
1163,450.0,1,1.0,Semi-Furnished,other,1.0,3000000,Ready_to_move,Resale,Builder_Floor
1164,1300.0,2,2.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,Resale,Apartment
1167,1400.0,3,3.0,Furnished,other,1.0,19000000,Ready_to_move,Resale,Apartment
1168,1400.0,3,3.0,Semi-Furnished,other,1.0,19000000,Ready_to_move,Resale,Apartment
1171,900.0,3,3.0,Semi-Furnished,other,1.0,7000000,Ready_to_move,New_Property,Builder_Floor
1175,1800.0,2,2.0,Furnished,other,1.0,21000000,Ready_to_move,Resale,Builder_Floor
1176,1300.0,3,3.0,Semi-Furnished,other,2.0,21000000,Ready_to_move,Resale,Builder_Floor
1181,1485.0,3,3.0,Unfurnished,other,1.0,30000000,Ready_to_move,Resale,Apartment
1182,1600.0,3,3.0,Semi-Furnished,other,2.0,26000000,Ready_to_move,Resale,Builder_Floor
1184,900.0,2,2.0,Semi-Furnished,other,2.0,6500000,Ready_to_move,Resale,Apartment
1185,900.0,2,2.0,Unfurnished,other,2.0,15000000,Ready_to_move,Resale,Apartment
1193,1300.0,3,2.0,Unfurnished,other,1.0,13500000,Ready_to_move,Resale,Apartment
1198,720.0,2,2.0,Unfurnished,other,1.0,5500000,Almost_ready,New_Property,Builder_Floor
1236,1200.0,3,3.0,Semi-Furnished,other,1.0,22500000,Ready_to_move,New_Property,Builder_Floor
1239,1450.0,3,3.0,Semi-Furnished,other,1.0,22500000,Ready_to_move,Resale,Builder_Floor
1241,2430.0,4,4.0,Furnished,other,5.0,30000000,Ready_to_move,Resale,Builder_Floor
1242,945.0,2,1.0,Unfurnished,other,5.0,6500000,Ready_to_move,Resale,Apartment
1248,1440.0,3,3.0,Semi-Furnished,other,2.0,22500000,Ready_to_move,New_Property,Builder_Floor
1251,1200.0,3,2.0,Semi-Furnished,other,1.0,15500000,Ready_to_move,Resale,Builder_Floor
1252,1800.0,3,3.0,Semi-Furnished,other,1.0,26000000,Ready_to_move,Resale,Builder_Floor
1255,1050.0,3,2.0,Semi-Furnished,other,3.0,12500000,Ready_to_move,Resale,Builder_Floor
