,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
183,800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Ready_to_move,New_Property,Apartment
191,1600.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,13500000,Ready_to_move,New_Property,Apartment
193,1500.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,12000000,Ready_to_move,New_Property,Apartment
195,2500.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,15000000,Ready_to_move,New_Property,Apartment
210,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000,Ready_to_move,New_Property,Apartment
227,1135.0,3,3.0,Furnished,other,2.0,25000000,Almost_ready,Resale,Apartment
230,1200.0,3,3.0,Semi-Furnished,other,1.0,15500000,Ready_to_move,Resale,Apartment
233,1100.0,2,2.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,Resale,Apartment
236,1600.0,3,3.0,Semi-Furnished,other,1.0,30000000,Ready_to_move,New_Property,Builder_Floor
276,1440.0,3,3.0,Semi-Furnished,other,3.0,26000000,Ready_to_move,New_Property,Builder_Floor
278,900.0,2,2.0,Semi-Furnished,other,3.0,20000000,Ready_to_move,Resale,Builder_Floor
283,1350.0,3,3.0,Unfurnished,other,1.0,26000000,Ready_to_move,New_Property,Builder_Floor
284,1200.0,3,3.0,Unfurnished,other,1.0,25000000,Ready_to_move,New_Property,Builder_Floor
287,1600.0,3,3.0,Unfurnished,other,1.0,22500000,Ready_to_move,Resale,Builder_Floor
293,1000.0,2,2.0,Unfurnished,other,1.0,15000000,Ready_to_move,Resale,Builder_Floor
295,1150.0,3,3.0,Semi-Furnished,other,2.0,26000000,Ready_to_move,New_Property,Builder_Floor
302,900.0,2,2.0,Semi-Furnished,other,1.0,4500000,Ready_to_move,Resale,Builder_Floor
303,970.0,3,2.0,Semi-Furnished,other,1.0,6500000,Ready_to_move,Resale,Builder_Floor
307,1017.0,2,2.0,Furnished,other,1.0,6500000,Ready_to_move,New_Property,Builder_Floor
309,950.0,3,2.0,Semi-Furnished,other,1.0,5500000,Ready_to_move,Resale,Apartment
311,750.0,2,2.0,Unfurnished,other,1.0,4500000,Ready_to_move,Resale,Builder_Floor
322,900.0,3,2.0,Semi-Furnished,other,1.0,6000000,Almost_ready,New_Property,Builder_Floor
324,850.0,2,2.0,Furnished,other,1.0,4500000,Ready_to_move,Resale,Builder_Floor
328,1053.0,3,2.0,Furnished,other,4.0,7000000,Ready_to_move,Resale,Builder_Floor
332,747.0,2,2.0,Furnished,other,1.0,6500000,Ready_to_move,Resale,Builder_Floor
334,376.7365,1,1.0,Semi-Furnished,other,1.0,3000000,Ready_to_move,New_Property,Apartment
335,1125.0,2,2.0,Unfurnished,other,1.0,5000000,Ready_to_move,Resale,Builder_Floor
336,713.0,2,2.0,Semi-Furnished,other,1.0,6000000,Ready_to_move,New_Property,Builder_Floor
338,900.0,2,2.0,Semi-Furnished,other,1.0,6500000,Ready_to_move,Resale,Apartment
343,2430.0,4,3.0,Furnished,other,1.0,25000000,Ready_to_move,Resale,Builder_Floor
358,850.0,2,2.0,Furnished,other,1.0,4500000,Ready_to_move,Resale,Builder_Floor
361,1000.0,3,2.0,Unfurnished,Laxmi Nagar,1.0,6500000,Ready_to_move,Resale,Apartment
366,900.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,7000000,Ready_to_move,Resale,Builder_Floor
380,1000.0,3,3.0,Furnished,other,1.0,12500000,Ready_to_move,Resale,Builder_Floor
382,600.0,2,2.0,Unfurnished,Laxmi Nagar,1.0,7000000,Ready_to_move,Resale,Builder_Floor
387,900.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,6000000,Ready_to_move,Resale,Builder_Floor
388,1000.0,3,2.0,Unfurnished,Laxmi Nagar,1.0,6000000,Ready_to_move,Resale,Apartment
427,2000.0,4,4.0,Semi-Furnished,other,3.0,15000000,Ready_to_move,Resale,Builder_Floor
441,900.0,3,2.0,Unfurnished,other,1.0,12000000,Ready_to_move,Resale,Builder_Floor
444,1782.0,3,3.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,Resale,Apartment
447,1500.0,3,3.0,Unfurnished,other,1.0,12500000,Ready_to_move,Resale,Builder_Floor
450,1200.0,3,2.0,Semi-Furnished,other,1.0,20000000,Ready_to_move,Resale,Apartment
451,1100.0,2,2.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,Resale,Apartment
452,1400.0,3,2.0,Semi-Furnished,other,2.0,25000000,Ready_to_move,New_Property,Apartment
459,1100.0,2,2.0,Unfurnished,other,1.0,15500000,Ready_to_move,Resale,Apartment
460,1075.0,2,2.0,Semi-Furnished,other,2.0,12000000,Ready_to_move,New_Property,Apartment
462,1200.0,3,2.0,Semi-Furnished,other,2.0,25000000,Ready_to_move,Resale,Apartment
463,600.0,1,2.0,Unfurnished,other,2.0,7000000,Ready_to_move,New_Property,Apartment
465,1600.0,3,2.0,Semi-Furnished,other,1.0,25000000,Ready_to_move,Resale,Apartment
473,1000.0,2,2.0,Furnished,other,1.0,5000000,Ready_to_move,Resale,Builder_Floor
477,3500.0,4,4.0,Semi-Furnished,other,5.0,22500000,Ready_to_move,New_Property,Builder_Floor
478,900.0,3,3.0,Furnished,other,2.0,20000000,Ready_to_move,Resale,Builder_Floor
480,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000,Ready_to_move,New_Property,Apartment
497,1135.0,3,3.0,Furnished,other,2.0,25000000,Almost_ready,Resale,Apartment
500,1200.0,3,3.0,Semi-Furnished,other,1.0,15500000,Ready_to_move,Resale,Apartment
503,1100.0,2,2.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,Resale,Apartment
506,1600.0,3,3.0,Semi-Furnished,other,1.0,30000000,Ready_to_move,New_Property,Builder_Floor
511,1350.0,3,3.0,Semi-Furnished,other,1.935562805872757,25000000,Ready_to_move,Resale,Builder_Floor
538,1000.0,2,2.0,Unfurnished,Laxmi Nagar,1.0,5000000,Ready_to_move,New_Property,Apartment
540,1350.0,3,2.0,Unfurnished,other,1.0,19000000,Ready_to_move,Resale,Builder_Floor
551,1800.0,4,4.0,Semi-Furnished,other,1.0,12500000,Ready_to_move,Resale,Builder_Floor
554,1300.0,3,3.0,Semi-Furnished,other,3.0,22500000,Ready_to_move,Resale,Builder_Floor
556,2100.0,3,4.0,Semi-Furnished,other,2.0,25000000,Ready_to_move,Resale,Builder_Floor
561,1700.0,3,3.0,Semi-Furnished,other,2.0,30000000,Ready_to_move,Resale,Builder_Floor
565,2000.0,4,3.0,Semi-Furnished,other,1.0,25000000,Ready_to_move,Resale,Apartment
566,1500.0,3,3.0,Semi-Furnished,other,2.0,30000000,Ready_to_move,Resale,Builder_Floor
576,1100.0,3,3.0,Unfurnished,other,1.0,25000000,Ready_to_move,Resale,Builder_Floor
578,700.0,2,2.0,Unfurnished,other,1.0,15000000,Ready_to_move,Resale,Builder_Floor
580,540.0,1,1.0,Unfurnished,other,1.0,3000000,Ready_to_move,Resale,Builder_Floor
583,1600.0,3,3.0,Semi-Furnished,other,2.0,22500000,Ready_to_move,Resale,Builder_Floor
586,900.0,3,3.0,Semi-Furnished,other,1.0,12500000,Ready_to_move,New_Property,Builder_Floor
599,1620.0,3,3.0,Semi-Furnished,other,1.935562805872757,26000000,Ready_to_move,New_Property,Builder_Floor
600,1078.0,3,2.0,Unfurnished,other,1.0,15500000,Ready_to_move,New_Property,Builder_Floor
602,1150.0,3,3.0,Semi-Furnished,other,1.0,21000000,Ready_to_move,Resale,Builder_Floor
607,405.0,1,1.0,Semi-Furnished,other,1.0,4500000,Ready_to_move,Resale,Apartment
613,2152.78,3,3.0,Furnished,other,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
617,900.0,2,2.0,Unfurnished,other,1.0,12500000,Ready_to_move,Resale,Builder_Floor
621,1350.0,3,3.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,Resale,Builder_Floor
623,1580.0,3,2.0,Furnished,other,1.0,21000000,Ready_to_move,Resale,Apartment
630,1650.0,3,3.0,Semi-Furnished,other,1.0,15500000,Ready_to_move,Resale,Apartment
632,1900.0,3,3.0,Furnished,other,1.0,25000000,Ready_to_move,Resale,Apartment
633,1400.0,3,2.0,Furnished,other,1.0,15000000,Ready_to_move,Resale,Apartment
640,1800.0,3,2.0,Semi-Furnished,other,1.0,15500000,Ready_to_move,Resale,Apartment
645,1850.0,3,2.0,Semi-Furnished,other,1.0,15500000,Ready_to_move,Resale,Apartment
648,1380.0,3,2.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,Resale,Apartment
691,1350.0,3,3.0,Semi-Furnished,other,2.0,21000000,Ready_to_move,Resale,Apartment
692,1800.0,3,3.0,Semi-Furnished,other,2.0,22500000,Ready_to_move,Resale,Apartment
693,968.751,2,2.0,Semi-Furnished,other,2.0,15000000,Ready_to_move,Resale,Apartment
694,1250.0,3,3.0,Semi-Furnished,other,2.0,20000000,Ready_to_move,New_Property,Apartment
695,1800.0,3,3.0,Furnished,other,2.0,20000000,Ready_to_move,New_Property,Apartment
696,1400.0,3,2.0,Semi-Furnished,other,2.0,26000000,Ready_to_move,Resale,Builder_Floor
700,1600.0,3,3.0,Semi-Furnished,other,2.0,20000000,Ready_to_move,Resale,Apartment
702,1400.0,3,2.0,Unfurnished,other,1.0,19000000,Ready_to_move,Resale,Apartment
704,1100.0,2,2.0,Unfurnished,other,2.0,15000000,Ready_to_move,Resale,Apartment
707,1500.0,3,3.0,Semi-Furnished,other,2.0,21000000,Ready_to_move,Resale,Apartment
709,1300.0,3,3.0,Unfurnished,other,2.0,19000000,Ready_to_move,Resale,Apartment
711,1440.0,3,3.0,Unfurnished,other,1.0,19000000,Ready_to_move,Resale,Apartment
713,450.0,1,1.0,Semi-Furnished,other,1.0,3000000,Ready_to_move,Resale,Builder_Floor
714,1300.0,2,2.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,Resale,Apartment
717,1400.0,3,3.0,Furnished,other,1.0,19000000,Ready_to_move,Resale,Apartment
718,1400.0,3,3.0,Semi-Furnished,other,1.0,19000000,Ready_to_move,Resale,Apartment
719,1500.0,3,2.0,Semi-Furnished,other,1.0,13500000,Ready_to_move,Resale,Builder_Floor
722,1600.0,4,2.0,Semi-Furnished,other,1.0,15500000,Ready_to_move,Resale,Apartment
725,1200.0,3,3.0,Furnished,other,2.0,13500000,Ready_to_move,Resale,Apartment
734,1200.0,3,2.0,Furnished,other,2.0,13500000,Ready_to_move,Resale,Apartment
742,1150.0,2,2.0,Furnished,other,2.0,12500000,Ready_to_move,Resale,Apartment
744,1800.0,4,4.0,Furnished,other,2.0,12000000,Ready_to_move,New_Property,Apartment
745,1300.0,3,3.0,Furnished,other,1.0,20000000,Ready_to_move,New_Property,Apartment
746,1150.0,2,2.0,Unfurnished,other,1.0,13500000,Ready_to_move,Resale,Apartment
751,1000.0,3,3.0,Semi-Furnished,other,1.0,5500000,Ready_to_move,New_Property,Apartment
762,800.0,2,2.0,Semi-Furnished,other,1.0,5000000,Almost_ready,Resale,Builder_Floor
763,700.0,2,2.0,Semi-Furnished,other,1.0,3500000,Ready_to_move,Resale,Builder_Floor
764,750.0,2,2.0,Semi-Furnished,other,1.0,4500000,Almost_ready,Resale,Builder_Floor
771,1100.0,3,2.0,Semi-Furnished,other,1.0,6000000,Ready_to_move,Resale,Builder_Floor
772,1000.0,3,3.0,Semi-Furnished,other,1.0,5500000,Ready_to_move,New_Property,Apartment
773,1000.0,3,2.0,Semi-Furnished,other,1.0,7000000,Ready_to_move,New_Property,Builder_Floor
774,1100.0,3,2.0,Furnished,other,1.0,6000000,Ready_to_move,Resale,Apartment
777,600.0,2,2.0,Unfurnished,other,1.0,4500000,Ready_to_move,Resale,Apartment
780,3600.0,2,2.0,Semi-Furnished,other,1.0,4500000,Ready_to_move,New_Property,Builder_Floor
781,1305.0,4,3.0,Unfurnished,other,1.0,5500000,Almost_ready,New_Property,Builder_Floor
785,1800.0,4,4.0,Semi-Furnished,other,1.0,12500000,Ready_to_move,Resale,Builder_Floor
786,800.0,2,2.0,Semi-Furnished,other,1.0,3000000,Ready_to_move,New_Property,Builder_Floor
788,1175.0,3,3.0,Unfurnished,other,4.0,5000000,Almost_ready,New_Property,Builder_Floor
789,1500.0,3,3.0,Unfurnished,other,4.0,6000000,Ready_to_move,Resale,Builder_Floor
790,810.0,2,2.0,Unfurnished,other,4.0,4500000,Ready_to_move,Resale,Apartment
794,725.0,2,2.0,Furnished,other,1.0,3000000,Ready_to_move,Resale,Apartment
796,750.0,2,2.0,Unfurnished,other,1.0,3500000,Ready_to_move,New_Property,Builder_Floor
797,700.0,2,2.0,Semi-Furnished,other,1.0,3000000,Ready_to_move,New_Property,Builder_Floor
800,900.0,2,2.0,Semi-Furnished,other,1.0,3500000,Ready_to_move,New_Property,Builder_Floor
801,1500.0,3,3.0,Semi-Furnished,other,1.0,7000000,Ready_to_move,New_Property,Builder_Floor
803,1035.0,3,3.0,Semi-Furnished,other,1.0,4500000,Ready_to_move,New_Property,Builder_Floor
